노선,기점시간
G6009,06:50
G6009,08:10
G6009,18:00
G6009,18:20
G6009,18:30
G6009,6:50
H18,05:10
H18,05:30
H18,05:40
H18,06:10
H18,06:20
H18,06:30
H18,06:50
H18,07:10
H18,07:30
H18,07:50
H18,08:10
H18,08:30
H18,08:50
H18,09:20
H18,09:30
H18,09:50
H18,10:20
H18,10:50
H18,11:10
H18,11:30
H18,11:50
H18,12:10
H18,12:30
H18,12:50
H18,13:10
H18,13:30
H18,13:50
H18,14:10
H18,14:20
H18,14:30
H18,14:50
H18,15:10
H18,15:20
H18,15:50
H18,16:10
H18,16:20
H18,16:50
H18,17:20
H18,17:30
H18,17:50
H18,18:10
H18,18:20
H18,18:30
H18,18:50
H18,19:10
H18,19:30
H18,19:50
H18,20:00
H18,20:10
H18,20:20
H18,20:50
H18,21:20
H18,22:40
H65,05:00
H65,05:30
H65,06:00
H65,06:20
H65,07:00
H65,07:10
H65,08:00
H65,08:10
H65,09:00
H65,09:20
H65,09:30
H65,10:00
H65,10:20
H65,10:30
H65,11:00
H65,11:10
H65,11:40
H65,12:00
H65,12:10
H65,12:50
H65,13:00
H65,13:30
H65,14:00
H65,14:20
H65,15:00
H65,15:10
H65,16:00
H65,16:10
H65,16:20
H65,17:00
H65,17:30
H65,18:10
H65,18:20
H65,18:40
H65,19:10
H65,19:20
H65,20:00
H65,20:10
H65,20:30
H67,05:00
H67,05:10
H67,05:30
H67,05:40
H67,06:00
H67,06:10
H67,06:20
H67,06:30
H67,06:50
H67,07:00
H67,07:10
H67,07:30
H67,07:50
H67,08:00
H67,08:10
H67,08:30
H67,08:50
H67,09:00
H67,09:20
H67,09:30
H67,09:50
H67,10:00
H67,10:20
H67,10:50
H67,11:00
H67,11:10
H67,11:30
H67,11:50
H67,12:00
H67,12:10
H67,12:30
H67,12:50
H67,13:00
H67,13:10
H67,13:30
H67,13:50
H67,14:00
H67,14:10
H67,14:20
H67,14:30
H67,14:50
H67,15:00
H67,15:10
H67,15:20
H67,15:50
H67,16:00
H67,16:10
H67,16:20
H67,16:50
H67,17:00
H67,17:20
H67,17:30
H67,17:50
H67,18:10
H67,18:20
H67,18:30
H67,18:50
H67,19:10
H67,19:20
H67,19:30
H67,19:50
H67,20:00
H67,20:10
H67,20:20
H67,20:30
H67,20:50
H67,21:20
H67,22:40
M4130,05:00
M4130,05:20
M4130,05:40
M4130,06:00
M4130,06:20
M4130,06:30
M4130,06:40
M4130,06:45
M4130,06:55
M4130,07:00
M4130,07:05
M4130,07:15
M4130,07:25
M4130,07:30
M4130,07:45
M4130,07:50
M4130,08:00
M4130,08:05
M4130,08:10
M4130,08:15
M4130,08:20
M4130,08:40
M4130,09:00
M4130,09:05
M4130,09:20
M4130,09:25
M4130,09:30
M4130,09:40
M4130,10:00
M4130,10:20
M4130,10:25
M4130,10:30
M4130,10:40
M4130,10:45
M4130,11:00
M4130,11:05
M4130,11:20
M4130,11:25
M4130,11:40
M4130,11:45
M4130,12:00
M4130,12:05
M4130,12:25
M4130,12:50
M4130,13:15
M4130,13:40
M4130,14:05
M4130,14:30
M4130,14:50
M4130,15:10
M4130,15:30
M4130,15:50
M4130,16:05
M4130,16:10
M4130,16:20
M4130,16:25
M4130,16:35
M4130,16:40
M4130,16:50
M4130,16:55
M4130,17:00
M4130,17:05
M4130,17:10
M4130,17:20
M4130,17:25
M4130,17:30
M4130,17:40
M4130,17:45
M4130,17:50
M4130,18:00
M4130,18:05
M4130,18:10
M4130,18:20
M4130,18:30
M4130,18:35
M4130,18:50
M4130,19:00
M4130,19:10
M4130,19:15
M4130,19:25
M4130,19:40
M4130,19:50
M4130,20:05
M4130,20:15
M4130,20:30
M4130,20:40
M4130,20:55
M4130,21:05
M4130,21:20
M4130,21:30
M4130,21:45
M4130,21:50
M4130,22:10
M4130,22:35
M4130,23:00
M4130,5:50
M4130,6:10
M4130,6:20
M4130,6:30
M4130,6:40
M4130,6:45
M4130,6:50
M4130,7:00
M4130,7:10
M4130,7:15
M4130,7:20
M4130,7:40
M4130,7:55
M4130,8:00
M4130,8:10
M4137,05:00
M4137,05:10
M4137,05:20
M4137,05:30
M4137,05:40
M4137,06:00
M4137,06:20
M4137,06:30
M4137,06:35
M4137,06:50
M4137,06:55
M4137,07:00
M4137,07:05
M4137,07:10
M4137,07:20
M4137,07:30
M4137,07:40
M4137,07:45
M4137,08:00
M4137,08:05
M4137,08:10
M4137,08:20
M4137,08:25
M4137,08:40
M4137,08:50
M4137,09:00
M4137,09:05
M4137,09:20
M4137,09:30
M4137,09:40
M4137,10:00
M4137,10:20
M4137,10:25
M4137,10:30
M4137,10:45
M4137,11:00
M4137,11:05
M4137,11:25
M4137,11:30
M4137,11:40
M4137,11:45
M4137,12:00
M4137,12:05
M4137,12:20
M4137,12:25
M4137,12:50
M4137,13:05
M4137,13:15
M4137,13:40
M4137,13:50
M4137,14:05
M4137,14:30
M4137,14:40
M4137,14:50
M4137,15:10
M4137,15:20
M4137,15:30
M4137,15:50
M4137,16:00
M4137,16:05
M4137,16:20
M4137,16:35
M4137,16:40
M4137,16:50
M4137,17:00
M4137,17:05
M4137,17:20
M4137,17:25
M4137,17:40
M4137,17:45
M4137,17:50
M4137,18:00
M4137,18:05
M4137,18:10
M4137,18:20
M4137,18:30
M4137,18:35
M4137,18:40
M4137,18:50
M4137,19:00
M4137,19:10
M4137,19:15
M4137,19:40
M4137,20:05
M4137,20:20
M4137,20:30
M4137,20:55
M4137,21:00
M4137,21:20
M4137,21:30
M4137,21:40
M4137,21:45
M4137,21:50
M4137,22:10
M4137,22:20
M4137,22:35
M4137,23:00
M4137,23:10
M4137,5:50
M4137,6:10
M4137,6:20
M4137,6:30
M4137,6:40
M4137,6:45
M4137,6:50
M4137,7:00
M4137,7:10
M4137,7:15
M4137,7:20
M4137,7:40
M4137,7:55
M4137,8:00
M4137,8:10
M4434,05:00
M4434,05:10
M4434,05:20
M4434,05:30
M4434,05:40
M4434,06:00
M4434,06:10
M4434,06:20
M4434,06:30
M4434,06:35
M4434,06:40
M4434,06:50
M4434,07:00
M4434,07:10
M4434,07:20
M4434,07:30
M4434,07:35
M4434,07:40
M4434,07:50
M4434,08:00
M4434,08:05
M4434,08:10
M4434,08:25
M4434,08:30
M4434,08:50
M4434,09:00
M4434,09:15
M4434,09:40
M4434,10:00
